SMA,year,emp
"Albany-Schenectady-Troy, NY",2015,359213.0
"Albany-Schenectady-Troy, NY",2016,367199.0
"Albany-Schenectady-Troy, NY",2017,299537.0
"Albany-Schenectady-Troy, NY",2018,314544.0
"Albuquerque, NM",1975,56364.28868084892
"Albuquerque, NM",1976,59763.802255535964
"Albuquerque, NM",1977,65004.329371358785
"Albuquerque, NM",1978,74278.48037437227
"Albuquerque, NM",1979,79691.1895793238
"Albuquerque, NM",1980,82654.25067247533
"Albuquerque, NM",1981,80551.5277870506
"Albuquerque, NM",1982,81193.22236713943
"Albuquerque, NM",1983,78981.31083983053
"Albuquerque, NM",1984,83292.53094651153
"Albuquerque, NM",1985,88883.80183119205
"Albuquerque, NM",1986,81572.96784692764
"Albuquerque, NM",1987,91142.52071824331
"Albuquerque, NM",1988,95106.08114833222
"Albuquerque, NM",1989,96066.56552567615
"Albuquerque, NM",1990,99146.76379111811
"Albuquerque, NM",1991,100819.44104548084
"Albuquerque, NM",1992,106580.99694734217
"Albuquerque, NM",1993,119156.22244919586
"Albuquerque, NM",1994,125414.22569230628
"Albuquerque, NM",1995,132355.2677377987
"Albuquerque, NM",1996,137301.85548243928
"Albuquerque, NM",1997,141262.87581806342
"Albuquerque, NM",1998,275010.00067430735
"Albuquerque, NM",1999,275449.00065019727
"Albuquerque, NM",2000,276660.00064329803
"Albuquerque, NM",2001,278083.00063729286
"Albuquerque, NM",2002,270755.00061506033
"Albuquerque, NM",2003,283431.0000024885
"Albuquerque, NM",2004,285536.0000022799
"Albuquerque, NM",2005,289270.00000183284
"Albuquerque, NM",2006,306700.0000026226
"Albuquerque, NM",2007,307527.0000010133
"Albuquerque, NM",2008,303750.0
"Albuquerque, NM",2009,286466.0
"Albuquerque, NM",2010,277848.0
"Albuquerque, NM",2011,274788.0
"Albuquerque, NM",2012,274782.0
"Albuquerque, NM",2013,276889.0
"Albuquerque, NM",2014,277764.0
"Albuquerque, NM",2015,291900.0
"Albuquerque, NM",2016,305226.0
"Albuquerque, NM",2017,280882.0
"Albuquerque, NM",2018,287141.0
"Alexandria, LA",1975,10673.04530054659
"Alexandria, LA",1976,11517.035884977962
"Alexandria, LA",1977,12360.3660187169
"Alexandria, LA",1978,13385.528172510007
"Alexandria, LA",1979,14051.764758332441
"Alexandria, LA",1980,13421.799435559251
"Alexandria, LA",1981,12953.084497507358
